technology,year,tic_modelled,series,tic_irena,gap_percent
Onshore wind,2025,976.011191624264,Refined,1025.743,-4.8
Onshore wind,2026,928.7530575129479,Refined,988.339,-6
Onshore wind,2027,883.7831463839588,Refined,954.015,-7.4
Onshore wind,2028,840.9906632489777,Refined,922.691,-8.9
Onshore wind,2029,800.27017777581,Refined,894.383,-10.5
Onshore wind,2030,761.5213645335378,Refined,869.194,-12.4
Onshore wind,2031,724.648755814915,Refined,847.274,-14.5
Onshore wind,2032,689.5615064270173,Refined,828.746,-16.8
Onshore wind,2033,656.1731698706529,Refined,813.604,-19.3
Onshore wind,2034,624.401485357088,Refined,801.647,-22.1
Onshore wind,2035,594.1681751373523,Refined,792.491,-25
Solar PV,2025,667,Refined,656.793,1.6
Solar PV,2026,583.4821950290437,Refined,593.031,-1.6
Solar PV,2027,510.4219968754289,Refined,536.028,-4.8
Solar PV,2028,446.50996570911985,Refined,485.316,-8
Solar PV,2029,390.60062203043526,Refined,441.675,-11.6
Solar PV,2030,341.69191652477997,Refined,406.614,-16
Solar PV,2031,298.9072705810486,Refined,381.298,-21.6
Solar PV,2032,261.4798655903606,Refined,365.423,-28.4
Solar PV,2033,228.73889944612134,Refined,356.875,-35.9
Solar PV,2034,200.09756392406385,Refined,352.785,-43.3
Solar PV,2035,175.04252746383386,Refined,350.873,-50.1
