technology,start,end,compound_annual_growth_rate
Offshore wind,2010,2025,0.25403607278011453
Offshore wind,2015,2025,0.2275260429777386
Offshore wind,2020,2025,0.21557665150050487
Offshore wind,2023,2025,0.10613435805058091
Onshore wind,2010,2025,0.13573184181499487
Onshore wind,2015,2025,0.11486083914350909
Onshore wind,2020,2025,0.11418716882687363
Onshore wind,2023,2025,0.12756920268869476
Solar PV,2010,2025,0.31336865620725884
Solar PV,2015,2025,0.2686736278283066
Solar PV,2020,2025,0.2732200518351955
Solar PV,2023,2025,0.2984181084623736
